지점명,주소,브랜드,주소1,주소2,주소3
석촌점,서울특별시 송파구 송파대로 448,버거킹,서울특별시,송파구,송파대로 448
문정점,서울특별시 송파구 송이로 239,버거킹,서울특별시,송파구,송이로 239
몽촌토성점,서울특별시 송파구 백제고분로51길 30,버거킹,서울특별시,송파구,백제고분로51길 30
거여역점,서울특별시 송파구 오금로 519,버거킹,서울특별시,송파구,오금로 519
문정역점,서울특별시 송파구 법원로 8길 13,버거킹,서울특별시,송파구,법원로 8길 13
종합운동장사거리점,서울특별시 송파구 올림픽로 76,버거킹,서울특별시,송파구,올림픽로 76
송파구청점,서울특별시 송파구 오금로 99,버거킹,서울특별시,송파구,오금로 99
위례신도시GS점,서울특별시 송파구 위례중앙로43 GS주유소 내,버거킹,서울특별시,송파구,위례중앙로43 GS주유소 내
목동역점,서울특별시 양천구 오목로 238,버거킹,서울특별시,양천구,오목로 238
신월점,서울특별시 양천구 화곡로 64,버거킹,서울특별시,양천구,화곡로 64
목동이마트점,서울특별시 양천구 오목로 299,버거킹,서울특별시,양천구,오목로 299
목동현대점,서울특별시 양천구 목동동로 257,버거킹,서울특별시,양천구,목동동로 257
신정네거리역점,서울특별시 양천구 중앙로 275,버거킹,서울특별시,양천구,중앙로 275
염창역점,서울특별시 양천구 공항대로 630,버거킹,서울특별시,양천구,공항대로 630
양평점,서울특별시 영등포구 선유로 130,버거킹,서울특별시,영등포구,선유로 130
당산역점,서울특별시 영등포구 양평로 58,버거킹,서울특별시,영등포구,양평로 58
영등포KT점,서울특별시 영등포구 영중로 119,버거킹,서울특별시,영등포구,영중로 119
서여의도점,서울특별시 영등포구 국회대로70길 23,버거킹,서울특별시,영등포구,국회대로70길 23
신길점,서울특별시 영등포구 도신로 237,버거킹,서울특별시,영등포구,도신로 237
서울역점,서울특별시 용산구 한강대로 405,버거킹,서울특별시,용산구,한강대로 405
용산이마트점,서울특별시 용산구 한강대로23길 55,버거킹,서울특별시,용산구,한강대로23길 55
국제점,서울특별시 용산구 한강대로 92,버거킹,서울특별시,용산구,한강대로 92
연신내역점,서울특별시 은평구 통일로 834,버거킹,서울특별시,은평구,통일로 834
박석고개SK점,서울특별시 은평구 통일로 945,버거킹,서울특별시,은평구,통일로 945
