지점명,주소,브랜드,주소1,주소2,주소3
의정부용현DT점,경기도 의정부시 시민로 462,버거킹,경기도,의정부시,시민로 462
의정부민락점,경기도 의정부시 천보로 68,버거킹,경기도,의정부시,천보로 68
의정부DT점,경기도 의정부시 호국로1336번길 1,버거킹,경기도,의정부시,호국로1336번길 1
의정부신세계점,경기도 의정부시 평화로 525,버거킹,경기도,의정부시,평화로 525
의정부HP점,경기도 의정부시 청사로 38,버거킹,경기도,의정부시,청사로 38
의정부서부역점,경기도 의정부시 신흥로252,버거킹,경기도,의정부시,신흥로252
지산리조트점,경기도 이천시 마장면 지산로 267,버거킹,경기도,이천시,마장면 지산로 267
이천CGV점,경기도 이천시 중리천로 58,버거킹,경기도,이천시,중리천로 58
금촌역점,경기도 파주시 중앙로 328,버거킹,경기도,파주시,중앙로 328
파주야당역점,경기도 파주시 소리천로8번길 36,버거킹,경기도,파주시,소리천로8번길 36
평택서정점,경기도 평택시 경기대로 1371,버거킹,경기도,평택시,경기대로 1371
평택청북점,경기도 평택시 청북읍 청북남로 260,버거킹,경기도,평택시,청북읍 청북남로 260
평택비전점,경기도 평택시 비전2로 195,버거킹,경기도,평택시,비전2로 195
평택죽백DT점,경기도 평택시 만세로 1709,버거킹,경기도,평택시,만세로 1709
평택고덕신도시GS점,경기도 평택시 고덕면 고덕국제2로 54,버거킹,경기도,평택시,고덕면 고덕국제2로 54
포천축석휴게소FS점,경기도 포천시 소흘읍 호국로 66,버거킹,경기도,포천시,소흘읍 호국로 66
하남이마트점,경기도 하남시 덕풍서로 70,버거킹,경기도,하남시,덕풍서로 70
하남미사점,경기도 하남시 미사강변대로 48,버거킹,경기도,하남시,미사강변대로 48
화성시청점,경기도 화성시 남양읍 시청로 113,버거킹,경기도,화성시,남양읍 시청로 113
화성능동FS점,경기도 화성시 동탄지성로 190,버거킹,경기도,화성시,동탄지성로 190
동탄2신도시SK점,경기도 화성시 동탄순환대로 731,버거킹,경기도,화성시,동탄순환대로 731
동탄점,경기도 화성시 동탄반석로 156,버거킹,경기도,화성시,동탄반석로 156
화성병점점,경기도 화성시 효행로 1032,버거킹,경기도,화성시,효행로 1032
동탄호수공원레이크꼬모점,경기도 화성시 동탄대로 181,버거킹,경기도,화성시,동탄대로 181
화성봉담점,경기도 화성시 봉담읍 와우로 80,버거킹,경기도,화성시,봉담읍 와우로 80
송산그린시티점,경기도 화성시 수노을2로 7,버거킹,경기도,화성시,수노을2로 7
강릉교동SK점,강원도 강릉시 하슬라로 159,버거킹,강원도,강릉시,하슬라로 159
속초DT점,강원도 속초시 동해대로 4059,버거킹,강원도,속초시,동해대로 4059
원주무실점,강원도 원주시 능라동길 61,버거킹,강원도,원주시,능라동길 61
원주명륜오일뱅크점,강원도 원주시 남원로 505,버거킹,강원도,원주시,남원로 505
원주기업도시점,강원도 원주시 지정면 신지정로 211,버거킹,강원도,원주시,지정면 신지정로 211
