버거킹,KFC,맥도날드,롯데리아,BKM,버거지수,주소,주소1,주소2,인구수,면적,인구밀도
4.0,3.0,8.0,10.0,15.0,1.5,대구광역시 달서구,대구광역시,달서구,568887,62.3397,9125.597332037209
2.0,0.0,1.0,10.0,3.0,0.3,대구광역시 달성군,대구광역시,달성군,256540,426.692532,601.2291773599637
3.0,0.0,2.0,12.0,5.0,0.4166666666666667,대구광역시 동구,대구광역시,동구,345469,182.145982,1896.6600097717226
3.0,2.0,4.0,10.0,9.0,0.9,대구광역시 북구,대구광역시,북구,437710,93.983908,4657.286649540047
1.0,1.0,1.0,6.0,3.0,0.5,대구광역시 서구,대구광역시,서구,175277,17.333125,10112.256156924963
4.0,3.0,6.0,10.0,13.0,1.3,대구광역시 수성구,대구광역시,수성구,428614,76.535345,5600.209942216893
2.0,1.0,2.0,4.0,5.0,1.25,대구광역시 중구,대구광역시,중구,77421,7.055185,10973.631449777717
1.0,0.0,1.0,8.0,2.0,0.25,대전광역시 동구,대전광역시,동구,226771,136.679755,1659.141106888873
6.0,2.0,4.0,14.0,12.0,0.8571428571428571,대전광역시 서구,대전광역시,서구,481222,95.525521,5037.627588547777
5.0,2.0,3.0,16.0,10.0,0.625,대전광역시 유성구,대전광역시,유성구,349373,176.529023,1979.1249850173363
2.0,1.0,3.0,7.0,6.0,0.8571428571428571,대전광역시 중구,대전광역시,중구,240473,62.179185,3867.4196196042135
2.0,1.0,3.0,5.0,6.0,1.2,부산광역시 금정구,부산광역시,금정구,239062,65.274057,3662.4351386646613
1.0,0.0,2.0,4.0,3.0,0.75,부산광역시 기장군,부산광역시,기장군,164716,218.298685,754.5441696087175
2.0,1.0,3.0,5.0,6.0,1.2,부산광역시 남구,부산광역시,남구,274480,26.818105,10234.876774477541
1.0,0.0,4.0,5.0,5.0,1.0,부산광역시 동래구,부산광역시,동래구,271247,16.631774,16308.963794241072
1.0,1.0,4.0,5.0,6.0,1.2,부산광역시 북구,부산광역시,북구,291132,39.370091,7394.750497274695
2.0,1.0,2.0,4.0,5.0,1.25,부산광역시 사상구,부산광역시,사상구,218094,36.093426,6042.485409946952
1.0,1.0,3.0,9.0,5.0,0.5555555555555556,부산광역시 사하구,부산광역시,사하구,321004,41.769978,7685.041155635753
2.0,1.0,3.0,6.0,6.0,1.0,부산광역시 연제구,부산광역시,연제구,209395,12.098903,17306.940968119176
5.0,1.0,4.0,11.0,10.0,0.9090909090909091,부산광역시 해운대구,부산광역시,해운대구,406102,51.474858,7889.327251762405
11.0,7.0,11.0,8.0,29.0,3.625,서울특별시 강남구,서울특별시,강남구,545169,39.501013,13801.3928908608
5.0,2.0,3.0,8.0,10.0,1.25,서울특별시 강동구,서울특별시,강동구,436067,24.590256,17733.32493976476
2.0,1.0,4.0,4.0,7.0,1.75,서울특별시 강북구,서울특별시,강북구,313954,23.600102,13303.078096865853
5.0,5.0,4.0,13.0,14.0,1.0769230769230769,서울특별시 강서구,서울특별시,강서구,591796,41.436853,14281.876087452876
4.0,4.0,1.0,10.0,9.0,0.9,서울특별시 관악구,서울특별시,관악구,500094,29.568929,16912.82088708725
4.0,2.0,2.0,10.0,8.0,0.8,서울특별시 광진구,서울특별시,광진구,351350,17.062949,20591.399528885657
4.0,1.0,4.0,7.0,9.0,1.2857142857142858,서울특별시 구로구,서울특별시,구로구,406664,20.120106,20211.82194566967
2.0,2.0,4.0,4.0,8.0,2.0,서울특별시 금천구,서울특별시,금천구,232810,13.02026,17880.59531837306
3.0,3.0,5.0,9.0,11.0,1.2222222222222223,서울특별시 노원구,서울특별시,노원구,532905,35.437538,15037.867472621827
3.0,1.0,2.0,4.0,6.0,1.5,서울특별시 도봉구,서울특별시,도봉구,333362,20.660965,16134.87075748882
3.0,2.0,3.0,6.0,8.0,1.3333333333333333,서울특별시 동대문구,서울특별시,동대문구,346194,14.21536,24353.51619656484
3.0,3.0,4.0,6.0,10.0,1.6666666666666667,서울특별시 동작구,서울특별시,동작구,395963,16.354618,24211.082154288168
5.0,2.0,4.0,7.0,11.0,1.5714285714285714,서울특별시 마포구,서울특별시,마포구,374035,23.851343,15681.92617078208
5.0,2.0,3.0,5.0,10.0,2.0,서울특별시 서대문구,서울특별시,서대문구,309397,17.625638,17553.804293495647
6.0,9.0,6.0,5.0,21.0,4.2,서울특별시 서초구,서울특별시,서초구,430826,46.983285,9169.77176031859
1.0,1.0,2.0,5.0,4.0,0.8,서울특별시 성동구,서울특별시,성동구,300889,16.859343,17847.01811927072
5.0,2.0,3.0,9.0,10.0,1.1111111111111112,서울특별시 성북구,서울특별시,성북구,442650,24.574349,18012.68469004001
8.0,5.0,6.0,16.0,19.0,1.1875,서울특별시 송파구,서울특별시,송파구,675961,33.872729,19955.90612141112
6.0,0.0,5.0,6.0,11.0,1.8333333333333333,서울특별시 양천구,서울특별시,양천구,458165,17.40571,26322.683762972036
5.0,4.0,4.0,8.0,13.0,1.625,서울특별시 영등포구,서울특별시,영등포구,367678,24.54852,14977.603537810019
3.0,3.0,2.0,8.0,8.0,1.0,서울특별시 용산구,서울특별시,용산구,228670,21.866384,10457.60469586558
3.0,3.0,3.0,7.0,9.0,1.2857142857142858,서울특별시 은평구,서울특별시,은평구,480032,29.711421,16156.480701478396
3.0,5.0,5.0,4.0,13.0,3.25,서울특별시 종로구,서울특별시,종로구,151290,23.91328,6326.610151346867
9.0,1.0,3.0,4.0,13.0,3.25,서울특별시 중구,서울특별시,중구,126171,9.959983,12667.792706071888
3.0,3.0,3.0,8.0,9.0,1.125,서울특별시 중랑구,서울특별시,중랑구,397015,18.496071,21464.828935831832
4.0,1.0,6.0,8.0,11.0,1.375,울산광역시 남구,울산광역시,남구,323819,73.466522,4407.708316449226
1.0,1.0,1.0,4.0,3.0,0.75,울산광역시 동구,울산광역시,동구,159656,36.074686,4425.70726741738
2.0,0.0,1.0,6.0,3.0,0.5,울산광역시 북구,울산광역시,북구,217796,157.357088,1384.0876363955083
2.0,0.0,1.0,5.0,3.0,0.6,울산광역시 중구,울산광역시,중구,223581,37.010509,6041.013918506228
2.0,1.0,1.0,7.0,4.0,0.5714285714285714,인천광역시 계양구,인천광역시,계양구,303471,45.56518,6660.1514577578755
5.0,3.0,4.0,10.0,12.0,1.2,인천광역시 남동구,인천광역시,남동구,532704,57.016644,9342.956067354648
3.0,1.0,1.0,0.0,5.0,,인천광역시 미추홀구,인천광역시,미추홀구,408862,24.83503,16463.11681524041
2.0,1.0,5.0,9.0,8.0,0.8888888888888888,인천광역시 부평구,인천광역시,부평구,511577,32.008762,15982.405067712398
3.0,2.0,1.0,15.0,6.0,0.4,인천광역시 서구,인천광역시,서구,544556,117.08739,4650.850958416615
5.0,1.0,4.0,8.0,10.0,1.25,인천광역시 연수구,인천광역시,연수구,366550,54.947866,6670.868710351736
3.0,2.0,2.0,9.0,7.0,0.7777777777777778,인천광역시 중구,인천광역시,중구,135135,140.2869,963.2759723110283
2.0,0.0,1.0,3.0,3.0,1.0,전라남도 광양시,전라남도,광양시,156750,463.087471,338.48896767064554
1.0,0.0,0.0,2.0,1.0,0.5,전라남도 나주시,전라남도,나주시,114664,608.403003,188.4671828288132
1.0,1.0,2.0,7.0,4.0,0.5714285714285714,전라남도 목포시,전라남도,목포시,229861,51.620811,4452.8746361617605
1.0,0.0,1.0,3.0,2.0,0.6666666666666666,전라남도 무안군,전라남도,무안군,81105,449.711044,180.34913992461344
1.0,1.0,2.0,10.0,4.0,0.4,전라남도 순천시,전라남도,순천시,279598,911.055038,306.89474108368853
1.0,0.0,2.0,10.0,3.0,0.3,전라남도 여수시,전라남도,여수시,282786,512.084272,552.2255133819067
3.0,0.0,2.0,7.0,5.0,0.7142857142857143,전라북도 군산시,전라북도,군산시,270131,396.683442,680.9737221146729
2.0,0.0,2.0,8.0,4.0,0.5,전라북도 익산시,전라북도,익산시,287771,506.537047,568.1144186873265
7.0,2.0,6.0,23.0,15.0,0.6521739130434783,전라북도 전주시,전라북도,전주시,654394,206.040841,3176.040229810555
1.0,0.0,1.0,2.0,2.0,1.0,전라북도 정읍시,전라북도,정읍시,110541,693.039121,159.50181836849004
