버거킹,KFC,맥도날드,롯데리아,BKM,버거지수,주소,주소1,주소2
3,3,2,8,8,1.0,서울특별시 용산구,서울특별시,용산구
3,3,3,7,9,1.2857142857142858,서울특별시 은평구,서울특별시,은평구
3,5,5,4,13,3.25,서울특별시 종로구,서울특별시,종로구
9,1,3,4,13,3.25,서울특별시 중구,서울특별시,중구
3,3,3,8,9,1.125,서울특별시 중랑구,서울특별시,중랑구
4,1,6,8,11,1.375,울산광역시 남구,울산광역시,남구
1,1,1,4,3,0.75,울산광역시 동구,울산광역시,동구
2,0,1,6,3,0.5,울산광역시 북구,울산광역시,북구
2,0,1,5,3,0.6,울산광역시 중구,울산광역시,중구
2,1,1,7,4,0.5714285714285714,인천광역시 계양구,인천광역시,계양구
5,3,4,10,12,1.2,인천광역시 남동구,인천광역시,남동구
3,1,1,14,5,,인천광역시 미추홀구,인천광역시,미추홀구
2,1,5,9,8,0.8888888888888888,인천광역시 부평구,인천광역시,부평구
3,2,1,15,6,0.4,인천광역시 서구,인천광역시,서구
5,1,4,8,10,1.25,인천광역시 연수구,인천광역시,연수구
3,2,2,9,7,0.7777777777777778,인천광역시 중구,인천광역시,중구
2,0,1,3,3,1.0,전라남도 광양시,전라남도,광양시
1,0,0,2,1,0.5,전라남도 나주시,전라남도,나주시
1,1,2,7,4,0.5714285714285714,전라남도 목포시,전라남도,목포시
1,0,1,3,2,0.6666666666666666,전라남도 무안군,전라남도,무안군
1,1,2,10,4,0.4,전라남도 순천시,전라남도,순천시
1,0,2,10,3,0.3,전라남도 여수시,전라남도,여수시
3,0,2,7,5,0.7142857142857143,전라북도 군산시,전라북도,군산시
2,0,2,8,4,0.5,전라북도 익산시,전라북도,익산시
7,2,6,23,15,0.6521739130434783,전라북도 전주시,전라북도,전주시
1,0,1,2,2,1.0,전라북도 정읍시,전라북도,정읍시
1,0,5,10,6,0.6,제주특별자치도 제주시,제주특별자치도,제주시
1,1,1,5,3,0.6,충청남도 당진시,충청남도,당진시
1,0,1,3,2,0.6666666666666666,충청남도 보령시,충청남도,보령시
1,0,1,7,2,0.2857142857142857,충청남도 서산시,충청남도,서산시
5,3,4,22,12,0.5454545454545454,충청남도 천안시,충청남도,천안시
1,0,1,3,2,0.6666666666666666,충청남도 홍성군,충청남도,홍성군
1,0,0,5,1,0.2,충청북도 음성군,충청북도,음성군
1,0,0,2,1,0.5,충청북도 진천군,충청북도,진천군
7,2,6,27,15,0.5555555555555556,충청북도 청주시,충청북도,청주시
1,0,1,8,2,0.25,충청북도 충주시,충청북도,충주시
0,1,0,0,1,,세종특별자치시 금송로,세종특별자치시,금송로
0,1,3,4,4,1.0,제주특별자치도 서귀포시,제주특별자치도,서귀포시
0,1,1,12,2,0.16666666666666666,충청남도 아산시,충청남도,아산시
0,0,1,3,1,0.3333333333333333,강원도 동해시,강원도,동해시
0,0,1,4,1,0.25,경기도 의왕시,경기도,의왕시
0,0,1,3,1,0.3333333333333333,경상남도 밀양시,경상남도,밀양시
0,0,1,3,1,0.3333333333333333,경상남도 통영시,경상남도,통영시
0,0,1,2,1,0.5,경상북도 영천시,경상북도,영천시
0,0,2,6,2,0.3333333333333333,대전광역시 대덕구,대전광역시,대덕구
0,0,1,4,1,0.25,부산광역시 강서구,부산광역시,강서구
0,0,2,3,2,0.6666666666666666,부산광역시 동구,부산광역시,동구
0,0,3,4,3,0.75,부산광역시 수영구,부산광역시,수영구
0,0,1,2,1,0.5,부산광역시 영도구,부산광역시,영도구
0,0,1,7,1,0.14285714285714285,울산광역시 울주군,울산광역시,울주군
0,0,1,3,1,0.3333333333333333,충청남도 논산시,충청남도,논산시
0,0,1,4,1,0.25,충청북도 제천시,충청북도,제천시
0,0,0,1,0,0.0,강원도 고성군,강원도,고성군
0,0,0,1,0,0.0,강원도 삼척시,강원도,삼척시
0,0,0,1,0,0.0,강원도 양구군,강원도,양구군
0,0,0,1,0,0.0,강원도 양양군,강원도,양양군
0,0,0,1,0,0.0,강원도 영월군,강원도,영월군
0,0,0,3,0,0.0,강원도 인제군,강원도,인제군
0,0,0,1,0,0.0,강원도 정선군,강원도,정선군
0,0,0,2,0,0.0,강원도 철원군,강원도,철원군
0,0,0,1,0,0.0,강원도 태백시,강원도,태백시
0,0,0,3,0,0.0,강원도 평창군,강원도,평창군
0,0,0,2,0,0.0,강원도 화천군,강원도,화천군
0,0,0,1,0,0.0,강원도 횡성군,강원도,횡성군
0,0,0,5,0,0.0,경기도 가평군,경기도,가평군
0,0,0,3,0,0.0,경기도 여주시,경기도,여주시
0,0,0,1,0,0.0,경기도 연천군,경기도,연천군
0,0,0,1,0,0.0,경상남도 거창군,경상남도,거창군
0,0,0,1,0,0.0,경상남도 고성군,경상남도,고성군
0,0,0,1,0,0.0,경상남도 남해군,경상남도,남해군
0,0,0,1,0,0.0,경상남도 산청군,경상남도,산청군
0,0,0,1,0,0.0,경상남도 의령군,경상남도,의령군
0,0,0,2,0,0.0,경상남도 창녕군,경상남도,창녕군
0,0,0,1,0,0.0,경상남도 하동군,경상남도,하동군
0,0,0,1,0,0.0,경상남도 함안군,경상남도,함안군
0,0,0,1,0,0.0,경상남도 함양군,경상남도,함양군
0,0,0,1,0,0.0,경상남도 합천군,경상남도,합천군
0,0,0,1,0,0.0,경상북도 고령군,경상북도,고령군
0,0,0,3,0,0.0,경상북도 문경시,경상북도,문경시
0,0,0,1,0,0.0,경상북도 봉화군,경상북도,봉화군
0,0,0,1,0,0.0,경상북도 성주군,경상북도,성주군
0,0,0,1,0,0.0,경상북도 영덕군,경상북도,영덕군
0,0,0,1,0,0.0,경상북도 예천군,경상북도,예천군
0,0,0,1,0,0.0,경상북도 울릉군,경상북도,울릉군
0,0,0,1,0,0.0,경상북도 울진군,경상북도,울진군
0,0,0,1,0,0.0,경상북도 의성군,경상북도,의성군
0,0,0,1,0,0.0,경상북도 청도군,경상북도,청도군
0,0,0,2,0,0.0,경상북도 칠곡군,경상북도,칠곡군
0,0,0,2,0,0.0,부산광역시 서구,부산광역시,서구
