지점명,주소,주소1,주소2,주소3
창원대학,경상남도 창원시 의창구 퇴촌로 31-1,경상남도,창원시,의창구 퇴촌로 31-1
홈플러스거제,경상남도 거제시 장평로 12,경상남도,거제시,장평로 12
북비산,대구광역시 서구 달서로 182,대구광역시,서구,달서로 182
창원대방,경상남도 창원시 성산구 가양로124번길 13 X-mall빌딩,경상남도,창원시,성산구 가양로124번길 13 X-mall빌딩
대구신당,대구광역시 달서구 계대동문로 24-1,대구광역시,달서구,계대동문로 24-1
경주황성,경상북도 경주시 황성로 33,경상북도,경주시,황성로 33
포항양덕,경상북도 포항시 북구 천마로 68,경상북도,포항시,북구 천마로 68
진주상대,경상남도 진주시 동진로 175,경상남도,진주시,동진로 175
대구화원,대구광역시 달성군 화원읍 비슬로 2566-1,대구광역시,달성군,화원읍 비슬로 2566-1
거제옥포,경상남도 거제시 옥포로 177,경상남도,거제시,옥포로 177
대구평리,대구광역시 서구 국채보상로 246,대구광역시,서구,국채보상로 246
대구북부터미날,대구광역시 서구 서대구로 295-6,대구광역시,서구,서대구로 295-6
사천,경상남도 사천시 정동면 옥산로 46,경상남도,사천시,정동면 옥산로 46
남해,경상남도 남해군 남해읍 화전로 52-1 퍼블릭모텔,경상남도,남해군,남해읍 화전로 52-1 퍼블릭모텔
대구용산,대구광역시 달서구 평리로 50,대구광역시,달서구,평리로 50
포항오천,경상북도 포항시 남구 오천읍 정몽주로 675,경상북도,포항시,남구 오천읍 정몽주로 675
영대병원,대구광역시 남구 대명로 313,대구광역시,남구,대명로 313
점촌,경상북도 문경시 호서로 2 롯데리아,경상북도,문경시,호서로 2 롯데리아
팔달시장,대구광역시 북구 팔달로 145,대구광역시,북구,팔달로 145
북마산,경상남도 창원시 마산회원구 북성로 118,경상남도,창원시,마산회원구 북성로 118
김해어방,경상남도 김해시 인제로 190 선교빌딩,경상남도,김해시,인제로 190 선교빌딩
경북왜관,경상북도 칠곡군 왜관읍 중앙로 212,경상북도,칠곡군,왜관읍 중앙로 212
대구대곡,대구광역시 달서구 도원로 30 대곡프라자,대구광역시,달서구,도원로 30 대곡프라자
창원용호,경상남도 창원시 의창구 용지로153번길 7 영화빌딩,경상남도,창원시,의창구 용지로153번길 7 영화빌딩
하양,경상북도 경산시 하양읍 하양로 126,경상북도,경산시,하양읍 하양로 126
대구계명,대구광역시 남구 현충로 250,대구광역시,남구,현충로 250
구미인동,경상북도 구미시 인동중앙로 36-10,경상북도,구미시,인동중앙로 36-10
영천시장,경상북도 영천시 완산로 73,경상북도,영천시,완산로 73
통영,경상남도 통영시 중앙로 111,경상남도,통영시,중앙로 111
