지점명,주소,주소1,주소2,주소3
목동킴스클럽,서울특별시 양천구 목동동로 309,서울특별시,양천구,목동동로 309
구미신평D/T,경상북도 구미시 구미대로 389(신평동),경상북도,구미시,구미대로 389(신평동)
롯데마트김포한강신도시,경기도 김포시 김포한강2로 41,경기도,김포시,김포한강2로 41
벌교,전라남도 보성군 벌교읍 채동선로 223-1,전라남도,보성군,벌교읍 채동선로 223-1
인천공항제2여객터미널1층,인천광역시 중구 제2터미널대로 446,인천광역시,중구,제2터미널대로 446
대전도안,대전광역시 서구 원도안로179번길 76-9,대전광역시,서구,원도안로179번길 76-9
청주옥산,충청북도 청주시 흥덕구 옥산면 청주역로 629,충청북도,청주시,흥덕구 옥산면 청주역로 629
용인백암,경기도 용인시 처인구 백암면 백암로 186번길3,경기도,용인시,처인구 백암면 백암로 186번길3
부산지사,부산광역시 강서구 과학산단2로 12,부산광역시,강서구,과학산단2로 12
용인시청D/T,경기도 용인시 처인구 중부대로 1137,경기도,용인시,처인구 중부대로 1137
롯데속초리조트,강원도 속초시 대포항길 186,강원도,속초시,대포항길 186
울릉도,경상북도 울릉군 울릉읍 도동길 118,경상북도,울릉군,울릉읍 도동길 118
내린천휴게소,강원도 인제군 상남면 서울양양고속도로 117,강원도,인제군,상남면 서울양양고속도로 117
부산광안역,부산광역시 수영구 수영로 581,부산광역시,수영구,수영로 581
울산역사,울산광역시 울주군 삼남면 울산역로 177,울산광역시,울주군,삼남면 울산역로 177
부산남산정역,부산광역시 북구 만덕3로 21,부산광역시,북구,만덕3로 21
전북장수,전라북도 장수군 장수읍 성산길 2,전라북도,장수군,장수읍 성산길 2
의정부낙양,경기도 의정부시 용민로 407,경기도,의정부시,용민로 407
평택진위D/T,경기도 평택시 진위면 경기대로 1929,경기도,평택시,진위면 경기대로 1929
광주하남2지구,광주광역시 광산구 용아로379번길 54,광주광역시,광산구,용아로379번길 54
경주보문,경상북도 경주시 보문로 465-67,경상북도,경주시,보문로 465-67
롯데마트시흥배곧,경기도 시흥시 서울대학로278번길 67,경기도,시흥시,서울대학로278번길 67
송파하비오,서울특별시 송파구 송파대로 111,서울특별시,송파구,송파대로 111
울산삼산D/I,울산광역시 남구 화합로 194,울산광역시,남구,화합로 194
해운대백병원,부산광역시 해운대구 해운대로 875,부산광역시,해운대구,해운대로 875
향남2신도시,경기도 화성시 향남읍 발안로 발안양감로,경기도,화성시,향남읍 발안로 발안양감로
롯데마트서울양평,서울특별시 영등포구 선유로 138,서울특별시,영등포구,선유로 138
충북혁신도시,충청북도 음성군 맹동면 대하3길 위너스타워,충청북도,음성군,맹동면 대하3길 위너스타워
제주표선해변,제주특별자치도 서귀포시 표선면 표선백사로 127,제주특별자치도,서귀포시,표선면 표선백사로 127
양주옥정,경기도 양주시 회천남로 (목정동 M타워),경기도,양주시,회천남로 (목정동 M타워)
양주광적,경기도 양주시 광적면 삼일로 11,경기도,양주시,광적면 삼일로 11
신부산역사,부산광역시 동구 중앙대로 206,부산광역시,동구,중앙대로 206
울산정자해변,울산광역시 북구 화암길 3,울산광역시,북구,화암길 3
배곧신도시,경기도 시흥시 배곧4로 103,경기도,시흥시,배곧4로 103
대전죽동,대전광역시 유성구 죽동로279번길 16,대전광역시,유성구,죽동로279번길 16
인천서구,인천광역시 서구 가정로 361,인천광역시,서구,가정로 361
부산전포,부산광역시 부산진구 전포대로200번길 17,부산광역시,부산진구,전포대로200번길 17
전주평화,전라북도 전주시 완산구 모악로 4754,전라북도,전주시,완산구 모악로 4754
울산우정,울산광역시 중구 유곡로 20,울산광역시,중구,유곡로 20
백령도,인천광역시 옹진군 백령면 백령로 236,인천광역시,옹진군,백령면 백령로 236
익산역,전라북도 익산시 익산대로 158-1,전라북도,익산시,익산대로 158-1
평내,경기도 남양주시 경춘로1256번길 34,경기도,남양주시,경춘로1256번길 34
아산테크노밸리,충청남도 아산시 둔포면 아산밸리중앙로 82,충청남도,아산시,둔포면 아산밸리중앙로 82
대전산성,대전광역시 중구 보문산로 45-1,대전광역시,중구,보문산로 45-1
포항효자,경상북도 포항시 남구 효자동길 12,경상북도,포항시,남구 효자동길 12
진주상봉,경상남도 진주시 의병로 56,경상남도,진주시,의병로 56
안산와동,경기도 안산시 단원구 와동로 43,경기도,안산시,단원구 와동로 43
장한평역,서울특별시 동대문구 천호대로 401,서울특별시,동대문구,천호대로 401
홈플러스파주운정,경기도 파주시 청암로 17번길 17,경기도,파주시,청암로 17번길 17
진주신안,경상남도 진주시 진양호로 282,경상남도,진주시,진양호로 282
중화역,서울특별시 중랑구 동일로 802,서울특별시,중랑구,동일로 802
오산세교D/T,경기도 오산시 경기대로 859,경기도,오산시,경기대로 859
충주용산,충청북도 충주시 남산로 73,충청북도,충주시,남산로 73
아산북수,충청남도 아산시 배방읍 북수로 121,충청남도,아산시,배방읍 북수로 121
동탄역사,경기도 화성시 동탄면 동탄기흥로257번가길 111,경기도,화성시,동탄면 동탄기흥로257번가길 111
수서역사,서울특별시 강남구 밤고개로 99 SRT수서역사 지하1층,서울특별시,강남구,밤고개로 99 SRT수서역사 지하1층
안양석수D/T,경기도 안양시 만안구 경수대로 1401,경기도,안양시,만안구 경수대로 1401
대구금호사수,대구광역시 북구 한강로4길 9,대구광역시,북구,한강로4길 9
목감신도시,경기도 시흥시 목감우회로114번길 롯데리아,경기도,시흥시,목감우회로114번길 롯데리아
경북도청,"경상북도 안동시 풍천면 천년숲서로 29, 1층 116호",경상북도,안동시,"풍천면 천년숲서로 29, 1층 116호"
제기역,서울특별시 동대문구 왕산로 86,서울특별시,동대문구,왕산로 86
영등포역사,서울특별시 영등포구 경인로102길 13,서울특별시,영등포구,경인로102길 13
영등포롯데,서울특별시 영등포구 경인로 846 롯데백화점 영등포점 지하1층,서울특별시,영등포구,경인로 846 롯데백화점 영등포점 지하1층
양산물금,경상남도 양산시 물금읍 야리로 17,경상남도,양산시,물금읍 야리로 17
양산증산,경상남도 양산시 물금읍 증산역로 153 정우프라자,경상남도,양산시,물금읍 증산역로 153 정우프라자
부산명지국제신도시,부산광역시 강서구 명지국제6로 부산 강서구 명지국제8로 233 1,부산광역시,강서구,명지국제6로 부산 강서구 명지국제8로 233 1
양재동,서울특별시 서초구 동산로 22,서울특별시,서초구,동산로 22
안성휴게소(상),경기도 안성시 원곡면 경부고속도로 372,경기도,안성시,원곡면 경부고속도로 372
마산현동,경상남도 창원시 마산합포구 현동7길 28,경상남도,창원시,마산합포구 현동7길 28
정읍상동,전라북도 정읍시 신경2길 28,전라북도,정읍시,신경2길 28
하나로고양,경기도 고양시 일산서구 대화로 362,경기도,고양시,일산서구 대화로 362
수원연무,경기도 수원시 장안구 창룡대로 197,경기도,수원시,장안구 창룡대로 197
대구세천,대구광역시 달성군 다사읍 세천남로 1581-6,대구광역시,달성군,다사읍 세천남로 1581-6
순천오천,전라남도 순천시 오천6길 19,전라남도,순천시,오천6길 19
하나로마트광주수완,광주광역시 광산구 임방울대로 261,광주광역시,광산구,임방울대로 261
대구가창D/T,대구광역시 달성군 가창면 가창로 1075,대구광역시,달성군,가창면 가창로 1075
포일IT,경기도 의왕시 포일세거리로 10,경기도,의왕시,포일세거리로 10
화성반월,경기도 화성시 영통로27번길 1,경기도,화성시,영통로27번길 1
안성맞춤휴게소(하),경기도 안성시 서운면 평택제천고속도로 40,경기도,안성시,서운면 평택제천고속도로 40
안성맞춤휴게소(상),경기도 안성시 서운면 평택제천고속도로 41,경기도,안성시,서운면 평택제천고속도로 41
영주가흥,경상북도 영주시 대동로31번길 2,경상북도,영주시,대동로31번길 2
부산해운대좌동,부산광역시 해운대구 좌동순환로 74,부산광역시,해운대구,좌동순환로 74
죽암휴게소(하)D/T,충청북도 청주시 서원구 현도면 경부고속도로 289,충청북도,청주시,서원구 현도면 경부고속도로 289
서산해미,충청남도 서산시 해미면 남문2로 121,충청남도,서산시,해미면 남문2로 121
